,Company,Job,Location,Salary,Specific_location,Summary
24,HEOR - Health Economics and Outcomes Research,Scientific Researcher,Cardiff,22500.0,Cardiff,"Life Sciences Degree (preferably related to Human Physiology). Health Economics and Outcomes Research Ltd has a dynamic team of 30 operational researchers,..."
25,Cardiff University,Research Associate (Statistical Geneticist/Bioinformatician),Cardiff,35690.5,Cardiff,College of Biomedical and Life Sciences. Core tasks will include data analysis and management of next generation sequencing data from neurodegenerative disease...
26,Henry Nicholas Associates,Telematics Data Scientist,Cardiff,62500.0,Cardiff,"2+ years’ experience working in Data Science or a relevant field. As a Telematics Data Scientist, you will have a passion for data science and will be eager to..."
27,Harnham,DATA SCIENTIST - CARDIFF,Cardiff,80000.0,Cardiff,Senior Data Scientist. For more information about similar Data Science positions please contact Nick Mandella at Harnham....
28,Home Office,"EO Data Analyst, Asylum Operations, Cardiff",Cardiff,25080.5,Cardiff CF24,"The role involves delivering training on the use of data systems, the management of data and delivering customer service standards...."
29,Lexis Nexis Risk Solutions,Data Analyst,Cardiff,35000.0,South Glamorgan,"Utilize various data workflow management, data tracking, and data analysis tools. Create and regularly update data metrics reporting (coverage data, maps,..."
30,Cardiff University,Administrative Assistant,Cardiff,19883.0,Cardiff,Administrative Assistant School of Dentistry College of Biomedical and Life Sciences The School of Dentistry invites applications for a part time post of...
31,Cardiff University,Research Associate,Cardiff,35690.5,Cardiff,College of Biomedical and Life Sciences. Knowledge and experience of qualitative data analysis (using NVivo or other relevant software) and/or quantitative data...
32,Cardiff University,Research Associate (Computer Vision/Computational Neuroscien...,Cardiff,35690.5,Cardiff,To collect and analyse project data. Experience with processing large amounts of data. Applications are invited for an Engineering and Physical Sciences...
33,Cardiff University,"Research Associate, DECIPHer",Cardiff,35690.5,Cardiff,"Data linkage and natural experiments. Multilevel modelling, longitudinal data, structural equation modelling. To lead and support analyses of and development of..."
34,University of Bristol,Post-Doctoral Research Associate in Applied Mathematics,Cardiff,34580.5,Bristol BS8,"The scientists trained in this programme will develop unmatched interdisciplinary skills spanning mathematics, computational science, molecular simulation,..."
35,Deerfoot,Head of Data Management,Cardiff,52500.0,Cardiff,"Data Manager, Data Analyst Lead, Head of Data, Head of Content Technology. The role will entail formulating techniques for data collection, implementing..."
36,Ensono Limited,Graduate Security Analyst,Cardiff,23000.0,Caerphilly,Degree or equivalent experience in Computer Science or Security. You will play a pivotal role in understanding security changes needed to help facilitate the...
37,Cardiff University,IT Support Assistant / Senior Library Assistant,Cardiff,19883.0,Cardiff,"Collect, collate and analyse data to inform decision making for library site operations; The Arts and Social Studies Library is open 24hrs and contains..."
38,Cardiff University,Administrative Officer: Projects,Cardiff,23656.5,Cardiff,"College of Biomedical and Life Sciences. Gather and analyse data to inform decisions, establishing basic trends and patterns in data and creating reports as..."
39,University of Bristol,Research Associate (Wellcome Trust),Cardiff,32548.0,Bristol BS8,You will have proven skills in qualitative data analysis and writing up findings. You will join a cross-disciplinary group of researchers working on...
40,FDM Group,Technology Consultant – Graduate Programme – Bristol,Cardiff,25500.0,Cardiff,"Graduates with a degree of 2:2 or above within a Science, Technology, Computing, Engineering, Maths or similar subject...."
41,Cardiff University,Administration Officer - Triage Study,Cardiff,23656.5,Cardiff,"Cardiff School of Healthcare Sciences. Gather and analyse data to inform decisions, establishing basic trends and patterns in data and creating reports as..."
42,University of Bristol,Research Associate,Cardiff,34580.5,Bristol BS8,We are looking to recruit a motivated and hardworking post-doctoral Research Associate to provide up to 4 months maternity cover for a British Heart Foundation...
43,Cardiff University,Research Software Engineer (Research Associate),Cardiff,35690.5,Cardiff,Data Intensive Science. Data Innovation Research Institute. Combines expertise in programming with a detailed understanding of research in Data Science to...
44,Just Life Sciences,Document Controller,Cardiff,24000.0,Merthyr Tydfil,"Just Life Sciences. Just Life Sciences are the leading Independent Life Sciences Recruiter in South Wales. Minimum first degree educated in Pharmacy, Chemistry..."
45,Accelero Digital,Systems Administrator (SA),Cardiff,28000.0,Bridgend,"Bachelor or Master’s degree in relevant subject such as engineering or computer science. Perform daily backup operations, ensuring all required file systems &..."
46,Cardiff University,Grants and Awards Team Leader,Cardiff,28591.5,Cardiff,"Provide narrative for trend or anomalies in the data. Gather and analyse data to inform management decisions, including in relation to the School’s REF..."
47,University of Bristol,Research Associate in Epigenetics and Social Science,Cardiff,34580.5,Bristol BS8,The E4 project will also include a further six longitudinal cohort studies that possess genome-wide genetic data (approx....
48,University of Bristol,Research Associate in Cookpad Networks,Cardiff,34580.5,Bristol BS8,"The Research Associate will have at least a PhD in network science, complexity sciences, computer science, applied mathematics or a related field and have good..."
49,Cardiff University,Research Technician,Cardiff,23656.5,Cardiff,"College of Biomedical and Life Sciences. Record and perform detailed analysis on data, including responsibility for maintaining databases...."
50,Cardiff University,"Research Recruitment Co-ordinator - 100,000 Genome Project",Cardiff,35690.5,Cardiff,College of Biomedical and Life Sciences. Combining genomic sequence data with medical records is a ground-breaking resource....
51,Just Life Sciences,Microbiologist,Cardiff,24500.0,Cardiff,"Just Life Sciences. Recording, analysing and interpreting data. Making decisions on the results of Environmental Data...."
52,University of Bristol,Research Associate in Experimental Petrology,Cardiff,34580.5,Bristol BS8,"For informal enquiries about the role and the School of Earth Science, please contact Dr Oliver Lord:. The experimental petrology group in the School of Earth..."
53,Just Life Sciences,Quality Assurance (OPERATIONAL GMP),Cardiff,35000.0,Cardiff,"Just Life Sciences. Just Life Sciences are the Independent Life Sciences Recruiter based in Cardiff, and are seeking a Quality Specialist who has substantial..."
54,Lexis Nexis Risk Solutions,Senior Security Engineer,Cardiff,52500.0,South Glamorgan,"BS Engineering/Computer Science or equivalent experience required. Facilitate on-site audits with clients, conduct data center tours...."
55,Michael Page UK,Test Analyst,Cardiff,35000.0,Cardiff,"Experience of managing test data in Visual Studio. A degree in a computer science, numerate or related discipline...."
56,Lexis Nexis Risk Solutions,Software Project Manager,Cardiff,54000.0,South Glamorgan,"Bachelor’s degree in a technical subject (Computer Science or Engineering discipline) is preferred, but not required...."
58,SRK Consulting UK Ltd,Senior Groundwater Modeller,Cardiff,48674.0,Cardiff,Auditing data collection practices and implementation of best practices in structural geology data collection and interpretation....
59,Just Life Sciences,Assay and Development Scientist,Cardiff,30000.0,Cardiff,Just Life Sciences. Statistical analysis of data. Interpreting complex assay data sets. Analyse and interpret complex data sets to support project delivery....
60,Just Life Sciences,QC Microbiologist Team Leader (Sterile),Cardiff,30000.0,Cardiff,Just Life Sciences. Record test results and supporting data accurately and in a timely manner. Just Life Sciences are the leading Life Sciences Recruitment...
61,Just Life Sciences,Analytical Team Leader (Pharma),Cardiff,35000.0,Cardiff,"Just Life Sciences. Just Life Sciences are the leading Life Sciences recruiter in South Wales, and have a newly created role with a Pharma client...."
62,Office for National Statistics,Methodologist/ Assistant Methodologist,Cardiff,28450.0,Newport,"Minimum 2:1 degree in statistics, data science, mathematics or a social science or other discipline with a substantial statistical content.  Big data...."
63,Williams Lea Tag,Data Administrator,Cardiff,15587.0,Newport NP10,Williams Lea Tag seeks a Data Administrator to join our team!*. You will also be required to provide data to the team leader when asked....
64,University of Bristol,Senior Research Associate in Epidemiology/ Medical Statistic...,Cardiff,38912.5,Bristol BS8,This post offers an excellent opportunity for a talented epidemiologist or medical statistician to join the Population Health Sciences department of the Bristol...
65,Aspire Data Recruitment,Statistical Modelling Manager,Cardiff,51500.0,Cardiff,Develop and raise awareness of best practices within all aspect of Decision Science Modelling and Analytics. Experienced in the extraction and manipulation of...
66,University of Bristol,Research Associate or Senior Research Associate in Quantum C...,Cardiff,36880.0,Bristol BS8,CQP is a world leading quantum information research centre pursuing fundamental quantum information science and developing unique and novel quantum technologies...
67,Just Life Sciences,AnalyticalTeam Leader (Synthetic),Cardiff,35000.0,Cardiff,"Just Life Sciences. Just Life Sciences are the leading Life Sciences recruiter in South Wales, and have a newly created role with a Pharma client...."
68,Cardiff University,Clinical Lecturer (Teacher) or Senior Clinical Teacher in Re...,Cardiff,45666.5,Cardiff,"College of Biomedical & Life Sciences. Cardiff University, College of Biomedical and Life Sciences, School of Dentistry invites applications for the a 1.0 FTE..."
69,Just Life Sciences,Production Quality Analysts,Cardiff,22500.0,Ebbw Vale NP23,"Just Life Sciences. Just Life Sciences is an Independent Life Sciences recruiter based in South Wales. Review Quality and Production data for completeness,..."
70,Just Life Sciences,Solid Dose Technicians (8),Cardiff,28000.0,Merthyr Tydfil,Just Life Sciences. Recording of batch manufacturing data; Just Life Sciences is seeking EIGHT Life Science graduates and/or Food-/Pharma- Manufacturing...
71,St David Recruitment Services,BUSINESS CHANGE MANAGER,Cardiff,40000.0,Cardiff,"Understanding of the life sciences, health and care sector. The personal data contained therein will not be shared with any third-parties without your express..."
72,Opus Recruitment Solutions,PHP Developer,Cardiff,45000.0,Cardiff,"A computer science degree, or similar qualification. An exciting opportunity has arisen within a rapidly growing software company...."
73,Geo-Environmental Recruitment,Senior Flood Risk / Drainage Consultant,Cardiff,37500.0,Cardiff,"Have a degree in Civil Engineering or Environmental Engineering, Hydrology, Physical Geography or Environmental Science;..."
74,Williams Lea Tag,Data Administrator - FTC,Cardiff,15587.0,Newport NP10,Data Administrator - 9 month FTC*. Williams Lea Tag seeks a Data Administrator to join our team!*. You will also be required to provide data to the team leader...
75,Lexis Nexis Risk Solutions,Security Engineer,Cardiff,45000.0,South Glamorgan,"BS Engineering/Computer Science or equivalent experience required. At LexisNexis Risk Solutions, we believe in the power of data and advanced analytics for..."
76,JGR Group,New Business Development / Corporate Prospector,Cardiff,30000.0,Bridgend,"We prefer candidates who have at least a bachelor’s degree in business, science, engineering, or economics. Identify key contacts within targeted facilities,..."
77,Mobius Resourcing,Web Systems Software Engineer,Cardiff,30000.0,Newport NP20,"Degree in Software Engineering or Computer Science. Experience in design and production of software for data processing, control and automation systems...."
78,Just Life Sciences,Cleaning Validation Specialist (Pharma),Cardiff,45000.0,Merthyr Tydfil,"Just Life Sciences. Just Life Sciences, are the, specialist Life Sciences Recruitment Consultancy based in Cardiff, and are seeking a Cleaning Validation..."
79,Petrie Recruitment,Quality Engineer,Cardiff,25000.0,Mid Glamorgan,The ability to analyse data using statistics for correlations or risk assessments). Should ideally be qualified to degree level or equivalent in an Engineering...
80,Just Life Sciences,Senior Project Manager (Pharma),Cardiff,52500.0,Merthyr Tydfil,"Just Life Sciences. Just Life Sciences are the leading Life Sciences recruiter in South Wales, and we are currently experiencing a huge demand for Experienced..."
81,Harnham,SENIOR CREDIT RISK ANALYST,Cardiff,60000.0,Cardiff,This is a fantastic opportunity that will suit a self-starter looking to own Credit Scoring projects at a Global data based business....
82,Just Life Sciences,"QA (QP Training Possibility) Engineering, Laboratory, Manufa...",Cardiff,40000.0,Tredegar,Just Life Sciences. To provide statistical trending reports on quality key performance indicators and to initiate corrective and preventive actions based on...
83,Conrad Consulting,Principle Mechanical Design Engineer,Cardiff,41500.0,Cardiff,"Current projects are within the sectors of science, data centres, education, commercial and residential therefore offering a wide project experience...."
85,University of Bristol,Postdoctoral Research Associate or Senior Research Associate...,Cardiff,34580.5,Bristol BS8,"You hold, or expect to hold, a PhD in Computer Science or Robotics, or in a closely related field; You will conduct in-depth research into simulation-based..."
86,SGS,Inspector,Cardiff,23000.0,Avonmouth,"Maths & one science based subject. SGS is the global leader and innovator in inspection, verification, testing and certification services...."
87,MECS Communications,Network Engineer,Cardiff,28250.0,Highbridge,"Telco, Telecom, Carrier, Service Provider, ISP, Internet, Telecommunications, Engineer, Junior, Trainee, Graduate, HM Forces, Signaller, Technician, Exchange,..."
88,University of Bristol,Research Associate in Responsive Nanocomposites for Sustaina...,Cardiff,34580.5,Bristol BS8,"The successful candidates will have a PhD in Chemistry, Materials Science or Engineering with experience in the synthesis, characterisation and properties..."
89,Royal Society of Chemistry,"Programme Coordinator, Spectroscopy in a Suitcase",Cambridge,34835.5,Cambridge,"Degree level qualification in science (ideally chemistry), science communication or equivalent experience. Understanding of child and data protection policies..."
90,Costello and Reyes,Junior Data Scientist,Cambridge,30000.0,Cambridge,"My client, a leading Biotech start-up based in Cambridge are looking for a Junior Data Scientist to join their data science and machine learning department...."
91,University of Cambridge,"Junior Data Scientist (Part Time, Fixed Term)",Cambridge,27763.5,Cambridge,"The successful candidate will have a numerate degree or one that includes natural science, social science or computer science or equivalent qualifications or..."
92,University of Cambridge,Genomics Data Scientist (Fixed Term),Cambridge,34316.0,Cambridge,"This role would suit somebody with some previous experience with bioinformatics or other large scale scientific data analysis, or a newly qualified graduate..."
93,Cambridge Cancer Genomics,Data Scientist,Cambridge,30000.0,Cambridge,"Data and database management (SQL/NoSQL). Bachelor's degree in Data Science or a related technical field, or equivalent qualification or technical experience...."
94,University of Cambridge,Research Associate: Radiomics and Machine Learning (Part Tim...,Cambridge,35218.5,Cambridge,"Degree in medical physics/engineering, computer science, mathematics or a related field. Individuals with experience in quantitative imaging, mathematics,..."
95,InterQuest Group,Data Scientist,Cambridge,57500.0,Cambridge,Data Scientists (algorithm development). They are looking for data scientists to aid with the interpretation and modelling of sensor data....
97,Wellcome Trust Sanger Institute,Postdoctoral Fellow in Statistical and Computational Genomic...,Cambridge,35497.5,Hinxton,"Our science is large-scale and organised into Programmes, led by our Faculty who conceive and deliver our science, and supported by our Scientific Operations..."
98,University of Cambridge,Research Associate in IMAXT Applications Data Science (Fixed...,Cambridge,35218.5,Cambridge,"Liaising with the IMAXT project teams and external science users; Contributions to the supporting computational infrastructure, including optimising deployment..."
99,Costello Medical Consulting,Analyst/Medical Writer,Cambridge,30000.0,Cambridge,"We are looking for individuals who are collaborative, self-motivated and enthusiastic with a genuine interest in healthcare and an eagerness to learn about new..."
100,Vector Recruitment Limited,Data Scientist – Medical Device R&D,Cambridge,55000.0,Cambridge,"The Data Scientist will have a strong background in algorithm development & coding (Python or R), and exploratory data analysis...."
101,Harnham,DATA SCIENTIST - CAMBRIDGESHIRE - PRICING,Cambridge,65000.0,Cambridgeshire,THE ROLE Work closely with talented Data Scientists Build models based upon comprehensive live data sets Define Data Science strategy within the organisation...
102,ECM Selection,Experienced Data Scientist,Cambridge,70000.0,Cambridgeshire,"Proven commercial experience in data science / analytics, applying modern techniques in statistics, mathematics and computer science;..."
103,University of Cambridge,Research Associate (Fixed Term),Cambridge,35218.5,Cambridge,"Applicants must have a PhD in cognitive neuroscience, computer science, or a related discipline. Experience of MEG analyses, particularly in using multivariate..."
104,Cambridge Cancer Genomics,Junior Software Engineer,Cambridge,35000.0,Cambridge,"Data and database management (SQL/NoSQL). You would work alongside our senior full stack Python developers on delivery of machine learning models, AWS data..."
105,Understanding Recruitment,"Machine Learning Researcher (Deep Learning, Python)",Cambridge,65000.0,Cambridgeshire,"Machine Learning, Python, Research, Deep Learning, Optimisation Algorithms, Neural Networks, Bayesian Data, Predictive analysis, Modelling, Big Data, Hadoop,..."
106,University of Cambridge,Postdoctoral Research Associates x 4 (Fixed Term),Cambridge,35218.5,Cambridge,"Human geography, cultural anthropology, colonial history, museum studies, global history, history of science, science and technology studies, history of art or..."
107,Client Server,Machine Learning Engineer Mathematics Python,Cambridge,45000.0,Cambridge,"PhD in Computer Science or similar. You will apply fundamental Machine Learning classification, regression and clustering techniques to help develop algorithms..."
108,University of Cambridge,Research Assistant/Associate (Fixed Term),Cambridge,32280.5,Cambridge,"And analyzing complex data. Candidates should have a Masters, PhD, or equivalent-level experience in Psychology, behavioural science, or a clinical discipline,..."
109,Cambridge Assessment,Senior Analyst (SAS programmer),Cambridge,41650.0,Cambridge,"Cambridge Assessment International Education is looking for an experienced data analyst to join the small, specialist Technical and Statistical Data team within..."
110,ADAS,Crop Research Consultant,Cambridge,24500.0,Boxworth,"You will have a good understanding of crop production, crop physiology, soil science and farming, have excellent numeracy and data analysis skills and..."
111,University of Cambridge,"Project Co-ordinator, Wellcome Trust-MRC Institute of Metabo...",Cambridge,34316.0,Cambridge,"Informal enquiries can be made to Naomi Clark, Metabolic Research Laboratories, Level 4, Wellcome Trust-MRC Institute of Metabolic Science, Box 289 Addenbrooke..."
112,ECM Selection,Senior Data Scientist,Cambridge,48000.0,Cambridge,"Do you have experience in leading data science projects? Postgraduate degree in mathematics, computer science or related discipline...."
113,ECM Selection,Data Scientists: AI / Machine Learning,Cambridge,75000.0,Cambridgeshire,Evidence of applying modern data science techniques to expansive data sets or unusual / unstructured information;...
114,Alzheimer's Research UK,Research Grants Officer,Cambridge,31000.0,Cambridge,Educated to Master’s degree standard in biological/medical sciences. The ability to manage and interpret large data sets....
115,MRC Laboratory of Molecular Biology,Investigator Scientist,Cambridge,31884.5,Cambridge,"The MRC is an excellent place to develop yourself further and a range of training & development opportunities will be available to you, including professional..."
116,Medical Research Council,Investigator Scientist - PNAC - Dr David Komander,Cambridge,31884.5,Cambridge,"The MRC is an excellent place to develop yourself further and a range of training & development opportunities will be available to you, including professional..."
117,Medical Research Council,Postdoctoral Scientist - PNAC - Dr Leo James,Cambridge,31884.5,Cambridge,Our recent data suggests that TRIM21 regulation occurs at the molecular level through changes in protein structure....
118,Vector Recruitment Limited,Physicist – Data Science,Cambridge,47500.0,Royston,"The new group specialise in Data Science -extracting meaningful information from all manner of data sources -sensors & signals, instrumentation, audio/video..."
119,Aveva Group Plc,Financial Analyst,Cambridge,22500.0,Cambridge,"Our Financial Planning and Analysis team consists of five qualified and part-qualified accountants, who provide managers with the data insight they need to keep..."
120,University of Cambridge,Research Assistant/Associate in Parallel Processing using Ra...,Cambridge,27763.5,Cambridge,"The project deals with distributed data processing over Raspberry Pi and other single board (e.g. Research Assistant £25,728 - £29,799 or Research Associate £29..."
121,University of Cambridge,Research Assistant/Associate in Self-Healing Circuits (Fixed...,Cambridge,28208.0,Cambridge,"These include the preparation of dispersions, the fabrication of thin film transistors (TFTs), set-up and perform experiments to characterize the self-healing..."
122,University of Cambridge,KTF Research Assistant/Associate in Sustainable Road Freight...,Cambridge,32280.5,Cambridge,The high time resolution data allows for emissions to be modelled by means of synthesizing emissions maps from the second-by-second PEMS data....
123,Origami Energy,Commercial Optimisation Lead,Cambridge,100000.0,Cambridge,Lead a team of Optimisation Analysts and Data Scientists; Excellent data management and database knowledge (both SQL and NoSQL);...
124,University of Cambridge,Research Computing Linux Systems Administrator (Fixed Term),Cambridge,41636.0,Cambridge,"RCS provides University-wide data storage platforms, several HPC compute clusters including the UK's largest academic cluster CSD3, virtualization and Hadoop..."
125,ECM Selection,Software Engineer (Big Data / Machine Learning),Cambridge,62500.0,Cambridgeshire,"Artificial Intelligence, Java / C++, OO, Agile, Problem Solving, Machine Learning / Big Data Applications. You’ll be smart – most likely have a 1st / high 2.1..."
126,Gonville and Caius College,Deputy Fellows Butler,Cambridge,26932.0,Cambridge,Its Fellows include many scholars of international distinction in the Arts and in the Sciences. This includes assisting the Fellows’ Butler in the management of...
127,University of Cambridge,MRC Postdoctoral Fellow in Genetic Epidemiology of Metabolic...,Cambridge,35218.5,Cambridge,"The post holder will have access to unique data sets and resources including Unit-led deeply-phenotyped cohort studies, ""omics"" measurements and linkage to..."
128,Polkadotfrog,Machine Learning Scientist / Engineers,Cambridge,62500.0,Cambridge,"Has a proven track record implementing data driven products. A PhD in statistics, computer science, engineering, math, physics or other quantitative fields...."
129,Novogene Corporation,NGS Lab Technician,Cambridge,25000.0,Cambridge,"Experiment planning, execution, troubleshooting, data analysis and interpretation. Degree & up in molecular biology or other biological sciences...."
130,Wellcome Trust Sanger Institute,Senior Staff Scientist - DNA Pipelines,Cambridge,48312.5,Hinxton,"Our science is large-scale and organised into Programmes, led by our Faculty who conceive and deliver our science, and supported by our Scientific Operations..."
131,Wellcome Trust Sanger Institute,Senior Staff Scientist,Cambridge,47716.0,Hinxton,"Our science is large-scale and organised into Programmes, led by our Faculty who conceive and deliver our science, and supported by our Scientific Operations..."
132,BirdLife International,Head of Information Management,Cambridge,45000.0,Cambridge CB2,"BirdLife collects and manages world renowned science data used to guide the conservation of 10,000 species and 16,000 sites...."
134,Wellcome Trust Sanger Institute,Advanced Research Assistant - Cellular Genetics,Cambridge,29496.0,Hinxton,"Our science is large-scale and organised into Programmes, led by our Faculty who conceive and deliver our science, and supported by our Scientific Operations..."
135,Wellcome Trust Sanger Institute,Advanced Research Assistant - Malaria Genomics,Cambridge,29496.0,Hinxton,"Our science is large-scale and organised into Programmes, led by our Faculty who conceive and deliver our science, and supported by our Scientific Operations..."
136,ECM Selection,Junior Quant Consultant / Analyst,Cambridge,42000.0,Cambridgeshire,"Inductive / Numerical / Verbal Reasoning, Analysis, Quant, Maths Modelling, Data Science, Finance, Business, French / Spanish / Portuguese / Arabic, Consultancy..."
137,Wellcome Trust Sanger Institute,Advanced Research Assistant - Bradley Team (short term),Cambridge,29496.0,Hinxton,"Our science is large-scale and organised into Programmes, led by our Faculty who conceive and deliver our science, and supported by our Scientific Operations..."
138,University of Cambridge,Unestablished Lecturer (Fixed Term),Cambridge,45305.0,Cambridge,"Candidates should hold a PhD or equivalent in statistics, mathematics or a closely related subject, and have an outstanding record of research in mathematical..."
139,Langton Howarth,Genome Analyst,Cambridge,61750.0,Cambridge,"Leading genomic science input into the drug development process. Experience in large-scale data analysis, applied statistics, and machine learning...."
140,ADAS,Horticulture Technical Consultants (two posts),Cambridge,24500.0,Boxworth,Apply knowledge of biological and/or physical sciences to give consultancy advice and to manage research experiments that produce robust and credible scientific...
141,Concept Life Sciences,Laboratory Technician - weekends,Cambridge,6108.0,Cambridge,"Ensure the timely extraction of samples / reporting of data. In our science based roles we offer structured career progression, more details of which can be..."
142,Glasshouse Recruitment,Database Administrator - SQL or Oracle (Junior - Senior),Cambridge,47500.0,Cambridge,"The company is based within the science parks of Cambridge, so easily accessible by car, train (with a short walk) or cycle...."
143,FutureYou by Cambridge Nutraceuticals,Backend Web Developer (£25k - £35k/yr),Cambridge,30000.0,Cambridge,We also leverage Python and Redshift for our Data Science needs. Joining FutureYou (by Cambridge Nutraceuticals) means signing up with a rising star in the...
144,Wellcome Trust Sanger Institute,Director of Open Targets,Cambridge,142500.0,Hinxton,Strong background in the use of innovative computational science / genomics / innovative technologies to deliver interpretation of high content human data....
145,Monarch IT,"Support Consultant, Cambridge, Up to £35K DOE",Cambridge,30000.0,Cambridge,"Ability to analyse data using SQL. Degree educated (minimum 2:1) in a maths, science or computing subject from a Russell Group University or equivalent...."
146,Consortia,Senior Big Data Engineer,Cambridge,75000.0,Cambridge,"If you're interested in this Big Data Engineering or any other related data science positions, please apply online and the Consortia team will match you to all..."
149,Bright Executive Recruitment,Software Developer In Test,Cambridge,50000.0,Cambridge,"In depth understanding of computer science fundamentals, algorithms and data structures. A 1 or 2.1 degree in Computer Science, Engineering, Maths, Natural..."
150,SoCode,Lead Software Developer,Cambridge,57500.0,Cambridge,"Working alongside the Data Science and research teams, the successful candidate will not only be responsible for working hands on producing top quality python..."
151,ECM Selection,Software Developer - Back End,Cambridge,40000.0,Cambridge,"An excellent degree in computer science, maths, physics or similar from a well-ranked university. The team use cutting edge technologies in advanced data..."
152,Wellcome Trust Sanger Institute,Senior Software Developer,Cambridge,41000.0,Hinxton,"Design and construction of data visualisation dashboards. As part of our dedication to gender equality and promoting women’s careers in science, we hold an..."
153,Evolution Recruitment Solutions,Technical/Solution/Integration Architect AI/ML/FinTech,Cambridge,75000.0,Cambridge,Do you want to work on projects at the forefront of Machine Learning and Data Science? Bridging the greatest minds in Data and Computer science in...
154,Zest Scientific,Cognitive Scientist,Cambridge,40000.0,Cambridge,"Provide data analysis, discuss study results and interpretations with clinical partners. Zest Scientific Recruitment is seeking a PhD level Scientist..."
155,Busy Bee Recruitment,Community Research Executive,Cambridge,40000.0,Cambridge,Advanced Microsoft Excel skills for data analysis. Drive the enhancement of our online repository of community data....
